Feature,AGOP_diag,PCA_loadings,Mutual_Info,Permutation_Imp,AGOP_diag_rank,PCA_loadings_rank,Mutual_Info_rank,Permutation_Imp_rank
Cement,0.6089058518409729,0.8635438,0.764465914665714,0.6519070182170872,3,6,3,2
Slag,0.21365535259246826,0.85829914,0.5489181829930759,0.27961762797496315,6,7,4,4
FlyAsh,0.6443911790847778,0.95632863,0.23361292330706976,0.02488831085510493,2,3,8,8
Water,0.314091295003891,1.0,0.8438024107034854,0.47059572766802565,4,1,2,3
Superplast,0.08912832289934158,0.9917302,0.5440135575667033,0.22023680122341438,7,2,5,5
CoarseAgg,0.24610655009746552,0.95049983,0.5264920247371518,0.02613413109408609,5,4,6,7
FineAgg,0.034317873418331146,0.8228383,0.4236569304267054,0.11224708284163115,8,8,7,6
Age,1.0,0.9354439,1.0,1.0,1,5,1,1
