,AGOP,PCA,MI,Permutation
AGOP,1.0,0.261904761904762,0.4047619047619048,0.3571428571428572
PCA,0.261904761904762,1.0,0.11904761904761905,-0.09523809523809526
MI,0.4047619047619048,0.11904761904761905,1.0,0.9523809523809524
Permutation,0.3571428571428572,-0.09523809523809526,0.9523809523809524,1.0
