dataset,xRFM,XGBoost,RandomForest
concrete,,,
energy,,,
bike_sharing,,,
online_shoppers,0.7334239430816694,0.9290511852960979,0.9184474580699621
shuttle,0.612086251317951,0.98056243305039,0.9120179950046595
