dataset,xRFM,XGBoost,RandomForest
concrete,0.004077832060820848,0.006674757245385531,0.25647783178751715
energy,0.005696753031892695,0.015496319659796112,0.2086885279504123
bike_sharing,0.002961306108249688,0.001586833495416653,0.024647583445876343
online_shoppers,0.001249689053392597,0.0018168153419031198,0.034879507971804155
shuttle,0.0021179396680545536,0.0010480057453501157,0.003574954027352833
