model,n_train,AUC-ROC,Accuracy,train_time_s
xRFM,2500,0.6807217292345402,0.9958620689655172,0.7760255001485348
XGBoost,2500,0.8839376678584331,0.9956034482758621,1.0756951002404094
RandomForest,2500,0.810547222275202,0.9949137931034483,0.43341249972581863
xRFM,5000,0.9847611806715031,0.9968103448275862,1.2729123001918197
XGBoost,5000,0.9385037726898372,0.9963793103448276,1.3488539000973105
RandomForest,5000,0.9087888563892789,0.9958620689655172,0.4646989996545017
xRFM,10000,0.9471260171495982,0.9976724137931035,2.7662578001618385
XGBoost,10000,0.9580887083901265,0.9975,1.511596200056374
RandomForest,10000,0.8830856015396596,0.9973275862068965,0.5240684999153018
xRFM,20000,0.9504004638048362,0.9978448275862069,8.62042050017044
XGBoost,20000,0.98529945880026,0.9978448275862069,1.7544403998181224
RandomForest,20000,0.911764217023623,0.9983620689655173,0.6212915000505745
xRFM,37120,0.9839843485955553,0.9981896551724138,20.278521199710667
XGBoost,37120,0.9697926869221822,0.9981896551724138,2.0359638002701104
RandomForest,37120,0.9139582078053611,0.9986206896551724,0.8514066999778152
